date,diario_existe,paginas,documentos
28/02/2008,sim,44,44
29/02/2008,sim,32,32
01/03/2008,sim,28,28
02/03/2008,nao,0,0
03/03/2008,nao,0,0
04/03/2008,sim,56,56
05/03/2008,sim,48,48
06/03/2008,sim,56,56
07/03/2008,sim,32,32
08/03/2008,sim,32,32
09/03/2008,nao,0,0
10/03/2008,nao,0,0
11/03/2008,sim,40,40
12/03/2008,sim,60,60
13/03/2008,sim,48,48
14/03/2008,sim,40,40
15/03/2008,sim,56,56
16/03/2008,nao,0,0
17/03/2008,nao,0,0
18/03/2008,sim,64,64
19/03/2008,sim,60,60
20/03/2008,sim,32,32
21/03/2008,sim,16,16
22/03/2008,nao,0,0
23/03/2008,nao,0,0
24/03/2008,nao,0,0
25/03/2008,sim,48,48
26/03/2008,sim,52,52
27/03/2008,sim,60,60
28/03/2008,sim,36,36
29/03/2008,sim,40,40
30/03/2008,nao,0,0
31/03/2008,nao,0,0
01/04/2008,sim,56,56
02/04/2008,sim,60,60
03/04/2008,sim,64,64
04/04/2008,sim,36,36
05/04/2008,sim,32,32
06/04/2008,nao,0,0
07/04/2008,nao,0,0
08/04/2008,sim,48,48
09/04/2008,sim,64,64
10/04/2008,sim,60,60
11/04/2008,sim,44,44
12/04/2008,sim,28,28
13/04/2008,nao,0,0
14/04/2008,nao,0,0
15/04/2008,sim,60,60
16/04/2008,sim,64,64
17/04/2008,sim,48,48
18/04/2008,sim,44,44
19/04/2008,sim,68,68
20/04/2008,nao,0,0
21/04/2008,nao,0,0
22/04/2008,nao,0,0
23/04/2008,sim,60,60
24/04/2008,sim,60,60
25/04/2008,sim,32,32
26/04/2008,sim,32,32
27/04/2008,nao,0,0
28/04/2008,nao,0,0
29/04/2008,sim,92,92
30/04/2008,sim,168,168
01/05/2008,sim,60,60
02/05/2008,nao,0,0
03/05/2008,nao,0,0
04/05/2008,nao,0,0
05/05/2008,nao,0,0
06/05/2008,sim,60,60
07/05/2008,sim,60,60
08/05/2008,sim,64,64
09/05/2008,sim,68,68
10/05/2008,sim,28,28
11/05/2008,nao,0,0
12/05/2008,nao,0,0
13/05/2008,sim,48,48
14/05/2008,sim,56,56
15/05/2008,sim,60,60
16/05/2008,sim,40,40
17/05/2008,sim,40,40
18/05/2008,nao,0,0
19/05/2008,nao,0,0
20/05/2008,sim,56,56
21/05/2008,sim,76,76
22/05/2008,sim,36,36
23/05/2008,nao,0,0
24/05/2008,nao,0,0
25/05/2008,nao,0,0
26/05/2008,nao,0,0
27/05/2008,sim,44,44
28/05/2008,sim,92,92
29/05/2008,sim,76,76
30/05/2008,sim,112,112
31/05/2008,sim,24,24
01/06/2008,nao,0,0
02/06/2008,nao,0,0
03/06/2008,sim,64,64
04/06/2008,sim,56,56
05/06/2008,sim,68,68
06/06/2008,sim,36,36
07/06/2008,sim,24,24
08/06/2008,nao,0,0
09/06/2008,nao,0,0
10/06/2008,sim,48,48
11/06/2008,sim,56,56
12/06/2008,sim,72,72
13/06/2008,sim,36,36
14/06/2008,sim,32,32
15/06/2008,nao,0,0
16/06/2008,nao,0,0
17/06/2008,sim,60,60
18/06/2008,sim,68,68
19/06/2008,sim,64,64
20/06/2008,sim,104,104
21/06/2008,sim,100,100
22/06/2008,nao,0,0
23/06/2008,nao,0,0
24/06/2008,sim,60,60
25/06/2008,sim,68,68
26/06/2008,sim,60,60
27/06/2008,sim,80,80
28/06/2008,sim,48,48
29/06/2008,nao,0,0
30/06/2008,nao,0,0
01/07/2008,sim,60,60
02/07/2008,sim,32,32
03/07/2008,sim,32,32
04/07/2008,sim,20,20
05/07/2008,sim,16,16
06/07/2008,nao,0,0
07/07/2008,nao,0,0
08/07/2008,sim,28,28
09/07/2008,sim,32,32
10/07/2008,nao,0,0
11/07/2008,sim,44,44
12/07/2008,sim,20,20
13/07/2008,nao,0,0
14/07/2008,nao,0,0
15/07/2008,sim,16,16
16/07/2008,sim,28,28
17/07/2008,sim,56,56
18/07/2008,sim,16,16
19/07/2008,sim,12,12
20/07/2008,nao,0,0
21/07/2008,nao,0,0
22/07/2008,sim,16,16
23/07/2008,sim,20,20
24/07/2008,sim,20,20
25/07/2008,sim,16,16
26/07/2008,sim,12,12
27/07/2008,nao,0,0
28/07/2008,nao,0,0
29/07/2008,sim,12,12
30/07/2008,sim,20,20
31/07/2008,sim,20,20
01/08/2008,sim,32,32
02/08/2008,sim,32,32
03/08/2008,nao,0,0
04/08/2008,nao,0,0
05/08/2008,sim,52,52
06/08/2008,sim,68,68
07/08/2008,sim,64,64
08/08/2008,sim,24,24
09/08/2008,sim,20,20
10/08/2008,nao,0,0
11/08/2008,nao,0,0
12/08/2008,sim,56,56
13/08/2008,sim,56,56
14/08/2008,sim,56,56
15/08/2008,sim,24,24
16/08/2008,sim,20,20
17/08/2008,nao,0,0
18/08/2008,nao,0,0
19/08/2008,sim,56,56
20/08/2008,sim,64,64
21/08/2008,sim,68,68
22/08/2008,sim,28,28
23/08/2008,sim,24,24
24/08/2008,nao,0,0
25/08/2008,nao,0,0
26/08/2008,sim,52,52
27/08/2008,sim,68,68
28/08/2008,sim,68,68
29/08/2008,sim,24,24
30/08/2008,sim,28,28
31/08/2008,nao,0,0
01/09/2008,nao,0,0
02/09/2008,sim,76,76
03/09/2008,sim,64,64
04/09/2008,sim,68,68
05/09/2008,sim,20,20
06/09/2008,sim,28,28
07/09/2008,nao,0,0
08/09/2008,nao,0,0
09/09/2008,sim,60,60
10/09/2008,sim,64,64
11/09/2008,sim,76,76
12/09/2008,sim,24,24
13/09/2008,sim,20,20
14/09/2008,nao,0,0
15/09/2008,nao,0,0
16/09/2008,sim,56,56
17/09/2008,sim,76,76
18/09/2008,sim,60,60
19/09/2008,sim,24,24
20/09/2008,sim,24,24
21/09/2008,nao,0,0
22/09/2008,nao,0,0
23/09/2008,sim,96,96
24/09/2008,sim,56,56
25/09/2008,sim,72,72
26/09/2008,sim,20,20
27/09/2008,sim,32,32
28/09/2008,nao,0,0
29/09/2008,nao,0,0
30/09/2008,sim,52,52
01/10/2008,sim,116,116
02/10/2008,sim,60,60
03/10/2008,sim,28,28
04/10/2008,sim,20,20
05/10/2008,nao,0,0
